test, rrt iteration, number of waypoints, distance to goal, number of waypoints opti, distance to goal opti
1,1023,25,1705.04,20,1388.25
1,1024,25,1705.04,20,1388.25
1,1025,25,1705.04,20,1388.25
1,1026,25,1705.04,20,1388.25
1,1027,25,1705.04,20,1388.25
1,1028,25,1705.04,20,1387.26
1,1029,25,1705.04,20,1387.26
1,1030,25,1705.04,20,1387.26
1,1031,25,1670.11,20,1387.26
1,1032,24,1670.11,20,1387.26
1,1033,24,1670.11,20,1387.26
1,1034,24,1670.11,21,1386.88
1,1035,24,1670.11,21,1386.88
1,1036,24,1670.11,21,1386.88
1,1037,24,1670.11,21,1386.88
1,1038,24,1670.11,21,1386.88
1,1039,24,1670.11,21,1386.88
1,1040,24,1670.11,21,1386.88
1,1041,24,1670.11,20,1386.88
1,1042,24,1670.11,20,1386.88
1,1043,24,1668.3,20,1386.88
1,1044,24,1668.3,20,1386.88
1,1045,24,1668.3,20,1386.88
1,1046,24,1668.3,20,1386.88
1,1047,24,1668.3,20,1386.88
1,1048,24,1668.3,20,1386.88
1,1049,24,1668.3,20,1386.88
1,1050,24,1668.3,20,1386.88
1,1051,24,1668.3,20,1386.88
1,1052,24,1668.3,20,1386.88
1,1053,24,1668.3,21,1386.88
1,1054,24,1668.3,20,1386.88
1,1055,24,1668.3,20,1386.88
1,1056,24,1668.3,20,1386.88
1,1057,24,1668.3,20,1386.88
1,1058,24,1668.3,20,1386.88
1,1059,24,1668.3,20,1386.88
1,1060,24,1668.3,20,1386.88
1,1061,24,1668.3,20,1386.88
1,1062,24,1668.3,20,1386.88
1,1063,24,1668.3,20,1386.88
1,1064,24,1668.3,20,1386.88
1,1065,24,1668.3,20,1386.88
1,1066,24,1668.3,20,1386.88
1,1067,24,1666.14,20,1386.88
1,1068,24,1666.14,20,1386.88
1,1069,24,1666.14,20,1386.88
1,1070,24,1666.14,20,1386.88
1,1071,24,1666.14,20,1386.88
1,1072,24,1666.14,20,1386.88
1,1073,24,1666.14,20,1386.88
1,1074,24,1666.14,20,1386.88
1,1075,24,1666.14,20,1386.88
1,1076,24,1666.14,20,1386.88
1,1077,24,1666.14,20,1386.88
1,1078,24,1666.14,20,1386.88
1,1079,24,1666.14,20,1386.88
1,1080,24,1666.14,20,1386.88
1,1081,24,1666.14,20,1386.88
1,1082,24,1666.14,20,1386.88
1,1083,24,1666.14,20,1386.88
1,1084,24,1666.14,20,1386.88
1,1085,24,1666.14,20,1386.88
1,1086,24,1666.14,20,1386.67
1,1087,24,1666.14,20,1386.67
1,1088,24,1666.14,20,1386.67
1,1089,24,1666.14,20,1386.67
1,1090,24,1666.14,20,1386.67
1,1091,24,1666.14,20,1386.67
1,1092,24,1666.14,20,1386.67
1,1093,24,1666.14,20,1386.67
1,1094,24,1666.14,20,1386.67
1,1095,24,1666.14,20,1386.67
1,1096,24,1666.14,20,1385.74
1,1097,24,1666.14,22,1385.74
1,1098,24,1666.14,22,1385.74
1,1099,24,1666.14,22,1385.74
1,1100,24,1666.14,22,1385.74
1,1101,24,1666.14,22,1385.74
1,1102,24,1666.14,22,1385.74
1,1103,24,1666.14,22,1385.74
1,1104,24,1666.14,22,1385.74
1,1105,24,1666.14,22,1385.74
1,1106,24,1666.14,22,1385.74
1,1107,24,1666.14,22,1385.74
1,1108,24,1666.14,22,1385.74
1,1109,24,1666.14,22,1385.74
1,1110,24,1666.14,22,1385.74
1,1111,24,1666.14,22,1385.74
1,1112,24,1666.14,22,1385.74
1,1113,24,1666.14,22,1385.74
1,1114,24,1666.14,22,1385.74
1,1115,24,1599.28,22,1385.74
1,1116,24,1599.28,22,1385.74
1,1117,24,1599.28,22,1385.74
1,1118,24,1599.28,22,1385.74
1,1119,24,1599.28,22,1385.74
1,1120,24,1599.28,22,1384.53
1,1121,24,1599.28,22,1384.53
1,1122,24,1599.28,22,1384.53
1,1123,24,1599.28,22,1384.53
1,1124,24,1599.28,22,1384.53
1,1125,24,1599.28,22,1384.53
1,1126,24,1599.28,22,1384.53
1,1127,24,1599.28,22,1384.53
1,1128,24,1599.28,22,1384.53
1,1129,24,1599.28,22,1384.53
1,1130,24,1599.28,22,1384.53
1,1131,24,1599.28,22,1384.53
1,1132,24,1599.16,22,1384.53
1,1133,24,1599.16,22,1384.53
1,1134,24,1599.16,22,1384.53
1,1135,24,1599.16,22,1384.53
1,1136,24,1599.16,22,1384.53
1,1137,24,1575.43,22,1384.39
1,1138,23,1575.43,22,1384.39
1,1139,23,1575.43,22,1384.39
1,1140,23,1575.43,22,1384.39
1,1141,23,1575.43,22,1384.39
